	Row.names	T8_LG_p_val	T8_LG_avg_logFC	T8_LG_pct.1	T8_LG_pct.2	T8_LG_p_val_adj	keggList..spu..	ID
17553	LOC576066	0.00499391	0.758535062	0.391	0.212	1	dual specificity mitogen-activated protein kinase kinase 1 isoform X2	spu:576066
24532	LOC590807	2.29E-07	0.757649714	0.435	0.117	0.005001264	THO complex subunit 2 isoform X1	spu:590807
24709	LOC591240	0.025583092	0.75632888	0.304	0.17	1	G2/mitotic-specific cyclin-B3	spu:591240
21710	LOC584043	4.00E-12	0.755349974	0.348	0.048	8.74E-08	zinc transporter ZIP13 isoform X1	spu:584043
27917	LOC763515	0.000519606	0.754428006	0.348	0.132	1	AP-3 complex subunit delta-1 isoform X1	spu:763515
22195	LOC585237	1.15E-05	0.753963737	0.261	0.058	0.250965387	nucleolar complex protein 2 homolog	spu:585237
23717	LOC588905	1.45E-05	0.753443279	0.652	0.34	0.316105305	coiled-coil domain-containing protein 6	spu:588905
24171	LOC589947	0.000197164	0.752300133	0.478	0.221	1	cAMP-dependent protein kinase catalytic subunit 1	spu:589947
21267	LOC583044	1.50E-07	0.751274929	0.435	0.115	0.003282265	E3 ubiquitin-protein ligase ZNF598	spu:583044
18503	LOC577783	0.000403028	0.75010991	0.522	0.279	1	"aconitate hydratase, mitochondrial isoform X1"	spu:577783
25947	LOC594061	0.000436614	0.749832121	0.348	0.133	1	ribosomal RNA processing protein 1 homolog A isoform X1	spu:594061
25060	LOC591988	1.35E-05	0.749715463	0.348	0.1	0.293863025	ankycorbin	spu:591988
20377	LOC581267	2.32E-07	0.749143736	0.435	0.118	0.005070593	V-type proton ATPase subunit D	spu:581267
23812	LOC589147	0.000144935	0.748690268	0.565	0.304	1	SUMO-conjugating enzyme UBC9	spu:589147
20876	LOC582213	7.41E-07	0.747852106	0.478	0.152	0.01617005	inner centromere protein A	spu:582213
17888	LOC576677	8.03E-09	0.744648873	0.478	0.119	0.00017532	BTB/POZ domain-containing protein KCTD5	spu:576677
24534	LOC590809	8.21E-07	0.742372197	0.435	0.127	0.017912668	SAP30-binding protein	spu:590809
17138	LOC575292	1.58E-05	0.742140587	0.609	0.287	0.345372596	HMG box-containing protein 4 isoform X1	spu:575292
27513	LOC757154	0.000537304	0.741231783	0.435	0.197	1	replication stress response regulator SDE2	spu:757154
21653	LOC583913	0.000178114	0.740327953	0.739	0.572	1	pre-mRNA-splicing factor SYF2 isoform X2	spu:583913
23927	LOC589410	2.79E-07	0.738955199	0.478	0.139	0.006084809	nucleolar MIF4G domain-containing protein 1	spu:589410
22785	LOC586618	1.78E-06	0.738853621	0.565	0.226	0.038945394	WW domain-binding protein 11	spu:586618
1521	LOC100890169	7.79E-09	0.738451504	0.522	0.136	0.000170044	NA	NA
17001	LOC575063	0.000234627	0.738413691	0.435	0.19	1	ribosome biogenesis protein bop1-B	spu:575063
25164	LOC592207	6.81E-07	0.737845573	0.739	0.351	0.014852371	equilibrative nucleoside transporter 1	spu:592207
16959	LOC574982	1.05E-07	0.735748938	0.348	0.074	0.002283064	"beta-1,3-galactosyltransferase 1"	spu:574982
23030	LOC587222	0.000934533	0.73566844	0.609	0.405	1	endoplasmic reticulum-Golgi intermediate compartment protein 3	spu:587222
23381	LOC588089	0.000172622	0.734927739	0.391	0.15	1	general transcription factor 3C polypeptide 1 isoform X1	spu:588089
22263	LOC585391	0.000341711	0.733072524	0.348	0.127	1	amyloid-like protein 1 isoform X1	spu:585391
18751	LOC578215	4.53E-08	0.731451723	0.783	0.348	0.000988886	G kinase-anchoring protein 1	spu:578215
16992	LOC575041	1.52E-06	0.731120373	0.826	0.478	0.033080212	actin cytoskeleton-regulatory complex protein pan1	spu:575041
24710	LOC591243	4.77E-06	0.730411228	0.696	0.366	0.104033937	stromal membrane-associated protein 1 isoform X1	spu:591243
16766	LOC574613	1.60E-05	0.729864512	0.304	0.079	0.350014435	probable ATP-dependent RNA helicase DDX10	spu:574613
2748	LOC100892150	8.90E-13	0.729195424	0.304	0.035	1.94E-08	uncharacterized protein LOC100892150	spu:100892150
24471	LOC590665	0.001634556	0.728406181	0.609	0.45	1	NA	NA
23686	LOC588846	0.001938021	0.72697316	0.391	0.187	1	U4/U6 small nuclear ribonucleoprotein Prp31	spu:588846
118	LOC100887886	0.001056389	0.726951625	0.261	0.088	1	uncharacterized protein LOC100887886	spu:100887886
27281	LOC755980	3.65E-09	0.723385317	0.348	0.063	7.97E-05	NA	NA
23454	LOC588274	0.000944488	0.722014804	0.739	0.668	1	eukaryotic translation initiation factor 4 gamma 3 isoform X1	spu:588274
797	LOC100889012	0.000111573	0.72176507	0.304	0.092	1	uncharacterized protein LOC100889012 isoform X1	spu:100889012
447	LOC100888440	0.000509874	0.72076443	0.522	0.278	1	"FYVE, RhoGEF and PH domain-containing protein 6 isoform X1"	spu:100888440
25463	LOC592872	4.10E-06	0.719519544	0.522	0.192	0.08937246	bone morphogenetic protein receptor type-1B	spu:592872
6462	LOC105442790	0.000208113	0.718993362	0.304	0.097	1	NA	NA
18983	LOC578650	0.008217604	0.717784005	0.391	0.217	1	putative leucine-rich repeat-containing protein DDB_G0290503 isoform X1	spu:578650
22628	LOC586264	7.22E-12	0.71772089	0.391	0.061	1.58E-07	LOW QUALITY PROTEIN: uncharacterized protein LOC586264	spu:586264
26433	LOC752590	6.50E-06	0.715507577	0.565	0.239	0.14188537	U4/U6.U5 tri-snRNP-associated protein 1	spu:752590
8113	LOC105447187	3.43E-08	0.715430727	0.261	0.041	0.000749344	uncharacterized protein LOC105447187	spu:105447187
19046	LOC578784	1.52E-05	0.714905531	0.957	0.736	0.330626721	uncharacterized protein LOC578784 isoform X1	spu:578784
18678	LOC578076	5.11E-15	0.714832007	0.304	0.03	1.12E-10	putative deoxyribonuclease TATDN2	spu:578076
28394	usf1	8.82E-05	0.713320826	0.478	0.214	1	NA	NA
18019	LOC576916	0.000483832	0.712286744	0.522	0.273	1	"nascent polypeptide-associated complex subunit alpha, muscle-specific form isoform X4"	spu:576916
23269	LOC587806	6.90E-06	0.711888473	0.391	0.119	0.150539308	BUD13 homolog	spu:587806
28319	LOC764940	4.83E-07	0.709972117	0.304	0.063	0.010544411	gephyrin	spu:764940
22253	LOC585370	7.79E-05	0.709093943	0.478	0.205	1	nucleolar GTP-binding protein 2	spu:585370
26093	LOC594490	6.76E-07	0.706065662	0.391	0.1	0.014753861	retinoblastoma-like protein 1	spu:594490
23625	LOC588692	0.000131183	0.705674901	0.913	0.661	1	pre-mRNA-processing factor 39	spu:588692
18146	LOC577156	0.0002274	0.705528331	0.696	0.423	1	protein C19orf12 homolog isoform X1	spu:577156
25987	LOC594182	4.42E-05	0.704878205	0.565	0.267	0.964389041	protein Jade-1	spu:594182
25613	LOC593185	8.23E-06	0.704444744	0.609	0.27	0.179542577	uncharacterized protein C1orf198 homolog isoform X1	spu:593185
19004	LOC578693	4.90E-07	0.702888095	0.826	0.366	0.010689011	lymphocyte-specific helicase	spu:578693
25548	LOC593041	0.000341242	0.702500995	0.435	0.186	1	male-specific lethal 3 homolog	spu:593041
23664	LOC588782	6.84E-07	0.700824038	0.565	0.204	0.014926705	"serine--tRNA ligase, cytoplasmic"	spu:588782
20892	LOC582243	0.000585715	0.700208839	0.435	0.205	1	GRIP1-associated protein 1	spu:582243
27410	LOC756684	0.000750354	0.698410264	0.739	0.576	1	formin-binding protein 1 isoform X1	spu:756684
547	LOC100888596	1.71E-08	0.698404917	0.348	0.067	0.000372697	uncharacterized protein LOC100888596 isoform X1	spu:100888596
7344	LOC105445154	5.73E-08	0.697511624	0.391	0.09	0.001250723	NA	NA
20582	LOC581681	0.005437631	0.697366563	0.348	0.165	1	UMP-CMP kinase isoform X1	spu:581681
5379	LOC105439929	0.000879621	0.695624376	0.348	0.142	1	borealin	spu:105439929
18610	LOC577954	9.37E-07	0.695473618	0.913	0.529	0.020457071	ribosome biogenesis protein NSA2 homolog	spu:577954
22512	LOC585998	1.97E-06	0.69491265	0.609	0.263	0.042917065	LOW QUALITY PROTEIN: peregrin	spu:585998
8239	LOC105447543	3.04E-20	0.693880369	0.304	0.022	6.63E-16	NA	NA
28198	LOC764515	0.003598723	0.693168601	0.391	0.2	1	upstream activation factor subunit spp27	spu:764515
22310	LOC585512	4.66E-06	0.692967256	0.696	0.377	0.101610244	cyclin-T1	spu:585512
20138	LOC580810	7.50E-07	0.692623524	0.957	0.662	0.016374764	trichohyalin	spu:580810
24307	LOC590272	3.17E-06	0.691853617	0.609	0.262	0.069155605	protein AF-10 isoform X2	spu:590272
20039	LOC580614	9.08E-05	0.691817852	0.304	0.089	1	R3H domain-containing protein 2 isoform X1	spu:580614
2249	LOC100891349	1.99E-05	0.690865293	0.348	0.102	0.434278997	zinc finger protein 652-B	spu:100891349
18418	LOC577629	2.53E-06	0.690694978	0.913	0.65	0.055191308	nucleolysin TIAR isoform X2	spu:577629
7975	LOC105446793	1.21E-05	0.689676314	0.826	0.535	0.265099006	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4-like	spu:105446793
2200	LOC100891267	0.000182671	0.687414477	0.522	0.243	1	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1 isoform X2"	spu:100891267
17278	LOC575570	0.0002523	0.68658905	0.348	0.122	1	E3 ubiquitin-protein ligase MGRN1 isoform X1	spu:575570
20176	LOC580885	3.75E-05	0.684693156	0.609	0.275	0.818568679	uncharacterized protein LOC580885	spu:580885
18994	LOC578672	1.47E-10	0.68349019	1	0.991	3.21E-06	heterogeneous nuclear ribonucleoprotein U isoform X3	spu:578672
16586	LOC373348	6.10E-11	0.682926028	0.348	0.053	1.33E-06	late histone H2A.L3	spu:373348
2339	LOC100891485	0.000199457	0.679072224	0.304	0.095	1	uncharacterized protein LOC100891485 isoform X1	spu:100891485
20143	LOC580822	6.27E-05	0.677412062	0.478	0.201	1	"spectrin alpha chain, non-erythrocytic 1 isoform X1"	spu:580822
25611	LOC593178	4.12E-07	0.677257181	0.478	0.143	0.008989172	histone deacetylase 4 isoform X1	spu:593178
22014	LOC584784	0.014368361	0.677029209	0.391	0.25	1	protein RRP5 homolog	spu:584784
3784	LOC100893899	0.000147303	0.676820572	0.391	0.15	1	LOW QUALITY PROTEIN: kinesin-like protein KIF13A	spu:100893899
3226	LOC100893012	9.53E-07	0.676363086	0.435	0.124	0.020805357	zinc finger protein 816	spu:100893012
27848	LOC763313	1.75E-05	0.676319353	0.826	0.558	0.382589787	12 kDa FK506-binding protein	spu:763313
21300	LOC583101	9.57E-05	0.67581064	0.783	0.635	1	endothelial differentiation-related factor 1	spu:583101
675	LOC100888798	0.008014892	0.67550744	0.348	0.182	1	NA	NA
16531	LOC373247	0.000142123	0.675082233	0.652	0.35	1	nuclear intermediate filament protein	spu:373247
19256	LOC579162	1.94E-07	0.673207089	0.304	0.06	0.004237876	enhancer of mRNA-decapping protein 4 isoform X1	spu:579162
27771	LOC763090	1.29E-05	0.671478131	0.391	0.121	0.282565515	zinc finger protein 260-like	spu:763090
24575	LOC590901	0.000194895	0.671181329	0.739	0.413	1	ubiquitin-conjugating enzyme E2 C	spu:590901
27915	LOC763510	4.37E-10	0.670559696	0.261	0.033	9.53E-06	ATP-binding cassette sub-family F member 3	spu:763510
18457	LOC577686	0.003036992	0.670414796	0.652	0.499	1	uncharacterized protein DDB_G0284459 isoform X2	spu:577686
24313	LOC590286	5.94E-06	0.669263551	0.478	0.168	0.129676564	protein Spindly-A	spu:590286
24545	LOC590827	9.88E-05	0.669052582	0.435	0.174	1	DNA-directed RNA polymerases I and III subunit RPAC1	spu:590827
25847	LOC593803	1.46E-05	0.668574341	0.565	0.239	0.318866713	nuclear receptor-binding protein	spu:593803
18689	LOC578093	2.66E-08	0.667191169	0.478	0.124	0.000580938	LOW QUALITY PROTEIN: transportin-1	spu:578093
25170	LOC592218	0.000602223	0.666367641	0.304	0.105	1	sperm-associated antigen 7	spu:592218
23568	LOC588563	0.000361334	0.666073447	0.652	0.424	1	cAMP-dependent protein kinase type I-alpha regulatory subunit isoform X1	spu:588563
23862	LOC589254	0.007404195	0.661880013	0.435	0.266	1	nipped-B-like protein A	spu:589254
4567	LOC105437916	2.65E-13	0.66152814	0.261	0.025	5.78E-09	NA	NA
20479	LOC581481	2.69E-141	0.660617409	0.261	0.002	5.88E-137	PC-esterase domain-containing protein 1A	spu:581481
25254	LOC592411	0.000901713	0.659979214	0.304	0.11	1	protein CWC15 homolog A	spu:592411
28359	LOC767501	4.76E-05	0.659393282	0.435	0.167	1	AP-1 complex subunit beta-1	spu:767501
18281	LOC577383	2.12E-06	0.659334012	0.391	0.107	0.0461633	RNA polymerase II-associated protein 3	spu:577383
20053	LOC580638	0.003154962	0.658857768	0.304	0.13	1	splicing factor 3B subunit 2 isoform X1	spu:580638
16588	LOC373350	0.01395024	0.658144331	0.783	0.725	1	"histone H1-gamma, late"	spu:373350
18707	LOC578132	2.96E-05	0.657457391	0.304	0.081	0.645690186	ADP-ribosylation factor-like protein 5B	spu:578132
20378	LOC581268	0.001303894	0.65708329	0.435	0.217	1	NA	NA
3343	LOC100893206	7.47E-107	0.656991724	0.261	0.003	1.63E-102	serine/threonine-protein kinase 31	spu:100893206
3530	LOC100893494	2.10E-06	0.656554025	0.783	0.429	0.045806033	RWD domain-containing protein 4	spu:100893494
17628	LOC576192	0.006674901	0.656187628	0.478	0.282	1	NA	NA
19258	LOC579169	0.001683856	0.65600246	0.348	0.152	1	uncharacterized protein LOC579169 isoform X1	spu:579169
26866	LOC754059	3.45E-05	0.655931362	0.565	0.272	0.753396886	uncharacterized protein LOC754059 isoform X1	spu:754059
25285	LOC592467	0.000642347	0.655902128	0.522	0.277	1	N-lysine methyltransferase KMT5A	spu:592467
17384	LOC575746	6.76E-06	0.655184799	0.652	0.302	0.147600759	NK-tumor recognition protein isoform X1	spu:575746
2142	LOC100891173	1.23E-06	0.654991662	0.261	0.05	0.026737015	disks large homolog 5 isoform X1	spu:100891173
19973	LOC580482	0.001832847	0.654940862	0.348	0.15	1	CCAAT/enhancer-binding protein zeta	spu:580482
23211	LOC587682	3.16E-07	0.653034436	0.304	0.061	0.006905046	uncharacterized protein LOC587682	spu:587682
199	LOC100888025	0.003102986	0.652870091	0.609	0.416	1	male-specific lethal 1-like 1	spu:100888025
22153	LOC585134	0.005623295	0.651612855	0.304	0.137	1	cyclin-L1	spu:585134
17097	LOC575216	0.000243074	0.649865699	0.739	0.51	1	probable helicase with zinc finger domain isoform X1	spu:575216
24060	LOC589715	0.000368233	0.64981486	0.261	0.078	1	"FYVE, RhoGEF and PH domain-containing protein 4"	spu:589715
17321	LOC575642	2.22E-06	0.64801159	0.391	0.108	0.048425696	ESF1 homolog isoform X1	spu:575642
20702	LOC581890	1.86E-06	0.647982974	0.391	0.106	0.040642913	ragulator complex protein LAMTOR1 isoform X1	spu:581890
17633	LOC576200	7.66E-05	0.644700068	0.739	0.51	1	SH2 domain-containing protein 4B isoform X5	spu:576200
25067	LOC592003	3.58E-06	0.643666345	0.348	0.092	0.078026963	GPALPP motifs-containing protein 1	spu:592003
24716	LOC591262	0.000702139	0.641596626	0.391	0.169	1	V-type proton ATPase subunit G	spu:591262
18917	LOC578529	0.000409958	0.641146027	0.348	0.132	1	angiogenic factor with G patch and FHA domains 1 isoform X1	spu:578529
25408	LOC592748	3.28E-06	0.640296996	0.348	0.09	0.071677876	centrobin	spu:592748
24414	LOC590522	1.50E-06	0.639618529	0.304	0.066	0.032657264	smad nuclear-interacting protein 1	spu:590522
4123	LOC105436821	0.001026932	0.638395711	0.652	0.467	1	M-phase phosphoprotein 8	spu:105436821
8117	LOC105447194	1.23E-08	0.638313203	1	0.994	0.000268305	gamma-aminobutyric acid receptor-associated protein	spu:105447194
16752	LOC574582	0.000521935	0.636854423	0.652	0.374	1	disks large-associated protein 5	spu:574582
25770	LOC593605	5.32E-05	0.636577776	0.565	0.263	1	ribosome biogenesis protein NOP53	spu:593605
1990	LOC100890919	5.42E-05	0.635998771	0.391	0.139	1	zinc finger protein 345	spu:100890919
22032	LOC584837	9.42E-05	0.635974278	0.652	0.373	1	histone lysine demethylase PHF8 isoform X1	spu:584837
20593	LOC581708	0.000315303	0.635743292	0.478	0.217	1	transcription initiation factor TFIID subunit 1	spu:581708
23660	LOC588769	7.05E-08	0.635327323	0.261	0.042	0.001538945	NA	NA
17787	LOC576487	0.000101886	0.634659797	0.565	0.29	1	zinc finger RNA-binding protein isoform X1	spu:576487
19928	LOC580394	0.001007925	0.634314425	0.348	0.145	1	RING finger protein 150	spu:580394
26098	LOC594510	0.000135161	0.634083389	0.522	0.238	1	nuclear protein MDM1	spu:594510
22699	LOC586433	9.30E-07	0.632904517	0.261	0.048	0.020287787	"myosin heavy chain, muscle isoform X1"	spu:586433
19772	LOC580091	8.48E-05	0.631059709	0.609	0.298	1	N-alpha-acetyltransferase 11	spu:580091
24653	LOC591084	1.50E-05	0.63082658	0.913	0.647	0.326370314	histone-lysine N-methyltransferase 2C isoform X11	spu:591084
23756	LOC589004	0.00020273	0.630252624	0.435	0.177	1	NA	NA
21011	LOC582486	0.00071245	0.630147369	0.478	0.241	1	RNA-binding protein 8A	spu:582486
26991	LOC754479	0.001653395	0.628684215	0.391	0.181	1	histone H4	spu:754479
23829	LOC589178	5.45E-10	0.626684748	0.261	0.033	1.19E-05	uncharacterized protein LOC589178 isoform X1	spu:589178
22862	LOC586794	0.000181714	0.6248437	0.478	0.208	1	NA	NA
5	delta	3.91E-06	0.624178059	0.304	0.069	0.085382433	NA	NA
19758	LOC580072	0.004515249	0.623792448	0.435	0.26	1	ralA-binding protein 1 isoform X1	spu:580072
21022	LOC582506	0.000138012	0.623689692	0.478	0.215	1	OTU domain-containing protein 5-B isoform X2	spu:582506
19011	LOC578712	1.20E-09	0.623248165	0.304	0.046	2.61E-05	"39S ribosomal protein L1, mitochondrial"	spu:578712
17995	LOC576865	0.000894712	0.623176943	0.304	0.11	1	separin isoform X1	spu:576865
27317	LOC756222	3.94E-11	0.622022952	0.304	0.04	8.59E-07	uncharacterized protein LOC756222	spu:756222
22265	LOC585398	4.88E-08	0.621928428	1	0.978	0.001065432	"ras homolog gene family, member C-like"	spu:585398
24078	LOC589748	0.000109351	0.62144884	0.435	0.168	1	LOW QUALITY PROTEIN: E3 ubiquitin-protein ligase UBR5	spu:589748
21324	LOC583159	8.76E-07	0.621418405	0.478	0.15	0.019111007	small nuclear ribonucleoprotein G	spu:583159
24476	LOC590676	0.000428358	0.621250896	0.261	0.078	1	chromosome-associated kinesin KIF4	spu:590676
1003	LOC100889325	2.69E-15	0.620615269	0.261	0.022	5.87E-11	NA	NA
16488	LOC373183	3.88E-05	0.619548436	0.957	0.772	0.847305613	40S ribosomal protein SA	spu:373183
6363	LOC105442519	5.54E-05	0.616600374	0.739	0.496	1	NA	NA
22879	LOC586836	2.75E-05	0.615936187	0.522	0.22	0.599738995	ras-related protein Rab-4B	spu:586836
18427	LOC577640	9.32E-06	0.614122293	0.478	0.175	0.203374877	histone-lysine N-methyltransferase SUV39H2	spu:577640
3812	LOC100893959	1.67E-05	0.613244221	0.348	0.101	0.364712704	uncharacterized protein LOC100893959 isoform X2	spu:100893959
16965	LOC574996	6.15E-07	0.613091772	0.696	0.305	0.013418159	UPF0472 protein C16orf72 homolog	spu:574996
22092	LOC584987	0.004474016	0.612159493	0.261	0.099	1	kinesin-like protein KIF16B isoform X1	spu:584987
25676	LOC593366	0.000535924	0.611546365	0.522	0.281	1	prefoldin subunit 3	spu:593366
18565	LOC577880	0.023543798	0.611483211	0.478	0.323	1	bromodomain adjacent to zinc finger domain protein 2B isoform X1	spu:577880
20405	LOC581328	0.000103126	0.610832766	0.435	0.172	1	mediator of RNA polymerase II transcription subunit 1	spu:581328
18903	LOC578493	2.24E-07	0.610800557	0.348	0.076	0.004895793	uncharacterized protein C9orf85 homolog	spu:578493
22746	LOC586535	0.00036224	0.609981741	0.348	0.131	1	RNA polymerase II subunit A C-terminal domain phosphatase	spu:586535
17723	LOC576375	1.64E-05	0.609506136	0.304	0.078	0.35810774	probable ATP-dependent RNA helicase DDX49 isoform X1	spu:576375
17607	LOC576159	1.26E-05	0.608777642	1	0.82	0.275979157	dual specificity protein phosphatase CDC14AB isoform X7	spu:576159
16705	LOC414054	0.000729519	0.608642351	0.739	0.519	1	guanine nucleotide-binding protein G(i) alpha subunit	spu:414054
20409	LOC581333	1.87E-05	0.606030091	0.609	0.278	0.407955364	SRSF protein kinase 3 isoform X1	spu:581333
18467	LOC577701	0.000708549	0.605682146	0.739	0.615	1	ubiquilin-1	spu:577701
19344	LOC579327	0.00273134	0.604986612	0.522	0.338	1	NA	NA
24600	LOC590954	2.64E-06	0.604967397	0.435	0.134	0.057606577	pre-mRNA-splicing factor CWC22 homolog isoform X2	spu:590954
20204	LOC580948	0.000511611	0.604097988	0.348	0.134	1	FAS-associated factor 1	spu:580948
136	LOC100887909	1.14E-07	0.602626418	0.304	0.058	0.00248345	cerebellar degeneration-related protein 2-like	spu:100887909
16976	LOC575014	0.007600254	0.60234904	0.435	0.239	1	gamma-adducin isoform X1	spu:575014
3690	LOC100893761	0.041493761	0.600957722	0.304	0.18	1	kinetochore protein Nuf2-A	spu:100893761
17651	LOC576229	0.000936264	0.600682694	0.261	0.086	1	coiled-coil domain-containing protein 171 isoform X1	spu:576229
18968	LOC578619	3.45E-05	0.60042199	0.391	0.131	0.751855599	lethal(2) giant larvae protein homolog 2 isoform X1	spu:578619
27379	LOC756509	0.000222266	0.600392736	0.391	0.147	1	something about silencing protein 10	spu:756509
25603	LOC593168	0.000456463	0.598692325	0.435	0.188	1	protein unc-45 homolog B	spu:593168
19073	LOC578830	5.70E-07	0.598539922	0.261	0.047	0.012436482	"complex I intermediate-associated protein 30, mitochondrial"	spu:578830
25956	LOC594083	7.63E-05	0.598354751	0.696	0.393	1	putative uncharacterized protein DDB_G0271606	spu:594083
16494	LOC373195	6.95E-08	0.597958304	0.304	0.056	0.001516496	ADAM isoform 1	spu:373195
17327	LOC575654	0.000138361	0.597272897	0.478	0.21	1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1-A	spu:575654
17467	LOC575905	2.44E-05	0.59722318	0.826	0.569	0.532454853	ubiquitin-conjugating enzyme E2-17 kDa	spu:575905
24138	LOC589874	1.47E-06	0.596815644	0.391	0.105	0.032143655	"peptidyl-tRNA hydrolase ICT1, mitochondrial"	spu:589874
23506	LOC588405	0.036022517	0.595847189	0.391	0.276	1	mediator of RNA polymerase II transcription subunit 19	spu:588405
23280	LOC587831	0.001057538	0.595245261	0.391	0.18	1	serine/threonine-protein kinase PAK 4 isoform X1	spu:587831
16939	LOC574943	9.97E-08	0.595224558	0.304	0.057	0.00217602	sodium-coupled neutral amino acid transporter 9 isoform X1	spu:574943
25944	LOC594043	0.000111972	0.59411868	0.913	0.805	1	heterogeneous nuclear ribonucleoprotein H3 isoform X1	spu:594043
1613	LOC100890329	1.49E-05	0.593188541	0.739	0.401	0.324313627	bcl-2-like protein 1 isoform X6	spu:100890329
21635	LOC583862	0.00029824	0.592421924	0.609	0.323	1	"28S ribosomal protein S5, mitochondrial"	spu:583862
23735	LOC588942	0.005544981	0.592321341	0.304	0.133	1	NA	NA
24345	LOC590355	0.011219646	0.592032441	0.348	0.188	1	cullin-3-B	spu:590355
28256	LOC764715	0.00157326	0.587969112	0.522	0.293	1	PH-interacting protein	spu:764715
24815	LOC591483	0.000113714	0.586344996	0.696	0.369	1	eukaryotic peptide chain release factor subunit 1	spu:591483
20570	LOC581660	8.52E-05	0.586293167	0.348	0.113	1	centromere protein K	spu:581660
21212	LOC582927	0.000271322	0.586002997	0.435	0.183	1	cleft lip and palate transmembrane protein 1 homolog	spu:582927
24788	LOC591423	0.001520371	0.585720506	0.478	0.263	1	apoptotic chromatin condensation inducer in the nucleus isoform X1	spu:591423
21265	LOC583039	0.000975932	0.585630692	0.304	0.112	1	SURP and G-patch domain-containing protein 1 isoform X1	spu:583039
28109	LOC764204	0.00213556	0.585356984	0.261	0.094	1	protein FAM32A	spu:764204
7555	LOC105445719	2.60E-06	0.58513104	0.957	0.582	0.056814052	histone-lysine N-methyltransferase 2A	spu:105445719
28062	LOC763990	3.11E-06	0.584962977	0.609	0.249	0.067902616	NA	NA
24879	LOC591619	1.72E-06	0.584528939	0.261	0.051	0.037451247	NA	NA
21656	LOC583920	0.000124958	0.583621548	0.348	0.116	1	chromodomain Y-like protein 2	spu:583920
20151	LOC580842	0.004051673	0.583179675	0.261	0.1	1	uncharacterized protein LOC580842 isoform X1	spu:580842
595	LOC100888674	0.089628522	0.582715761	0.478	0.401	1	uncharacterized protein LOC100888674	spu:100888674
21051	LOC582580	1.14E-05	0.581821758	0.609	0.262	0.248207979	NA	NA
21498	LOC583564	0.01824437	0.58158238	0.435	0.288	1	elongin-C	spu:583564
16525	LOC373241	0.002925278	0.579487989	0.609	0.39	1	KRP170	spu:373241
19561	LOC579722	4.41E-05	0.578930173	0.565	0.255	0.961835972	T-complex protein 1 subunit delta	spu:579722
24403	LOC590497	6.66E-05	0.578654029	0.261	0.066	1	protein FAM193A isoform X1	spu:590497
20960	LOC582372	4.53E-05	0.578470571	0.304	0.084	0.98946318	kanadaptin	spu:582372
1500	LOC100890137	0.000159854	0.57761401	0.565	0.286	1	NA	NA
2	ago1	0.000375684	0.577153405	0.391	0.16	1	NA	NA
21038	LOC582546	7.96E-05	0.576130198	0.304	0.088	1	suppressor of SWI4 1 homolog	spu:582546
22482	LOC585921	0.00010544	0.575686102	0.348	0.114	1	proteasome activator complex subunit 3	spu:585921
25445	LOC592824	6.34E-06	0.575624899	0.435	0.138	0.138369802	ralBP1-associated Eps domain-containing protein 1 isoform X1	spu:592824
17636	LOC576205	8.02E-05	0.574304722	0.826	0.598	1	AP-2 complex subunit mu	spu:576205
7794	LOC105446357	0.034489526	0.571669104	0.348	0.219	1	NA	NA
19736	LOC580027	0.009551577	0.56921199	0.652	0.55	1	transmembrane 9 superfamily member 3	spu:580027
16774	LOC574628	0.001257455	0.569195538	0.391	0.175	1	N-chimaerin	spu:574628
24197	LOC590010	9.27E-07	0.568844655	0.304	0.064	0.020225788	ubiquitin-conjugating enzyme E2 J2	spu:590010
22165	LOC585164	1.82E-09	0.568506778	0.261	0.035	3.97E-05	ras-related protein Rab-22A	spu:585164
22934	LOC586963	0.001446059	0.568292473	0.261	0.088	1	actin-like protein 6B	spu:586963
22221	LOC585298	9.01E-05	0.568001682	0.957	0.874	1	"cytochrome c oxidase subunit 6A, mitochondrial"	spu:585298
19860	LOC580266	0.00026147	0.567522505	0.304	0.096	1	eukaryotic initiation factor 4A-III	spu:580266
697	LOC100888843	5.35E-06	0.567419845	0.348	0.091	0.116700503	ankyrin repeat domain-containing protein 54 isoform X1	spu:100888843
16582	LOC373343	0.000117772	0.566951749	0.261	0.069	1	histone H4	spu:373343
24790	LOC591426	0.001729945	0.565714607	0.478	0.259	1	mitotic spindle assembly checkpoint protein MAD1	spu:591426
23574	LOC588572	0.001423924	0.565305823	0.696	0.535	1	LOW QUALITY PROTEIN: serine/arginine repetitive matrix protein 1	spu:588572
22803	LOC586668	0.004199705	0.56429436	0.522	0.357	1	NA	NA
17717	LOC576366	0.001440722	0.564252096	0.348	0.145	1	EH domain-binding protein 1-like isoform X1	spu:576366
22181	LOC585201	0.004257519	0.56284694	0.609	0.428	1	histone acetyltransferase KAT8	spu:585201
25112	LOC592098	1.32E-07	0.562693867	1	0.973	0.002876788	60S ribosomal protein L18a	spu:592098
22506	LOC585988	0.000144434	0.56233925	0.261	0.071	1	"glycerol-3-phosphate acyltransferase 1, mitochondrial isoform X1"	spu:585988
